date,symbol,open,high,low,close,volume
2024-01-01,SPY,99.50,100.50,99.00,100.00,1000
2024-01-02,SPY,100.50,101.50,100.00,101.00,1010
2024-01-03,SPY,101.50,102.50,101.00,102.00,1020
2024-01-04,SPY,102.50,103.50,102.00,103.00,1030
2024-01-05,SPY,103.50,104.50,103.00,104.00,1040
2024-01-08,SPY,105.50,106.50,105.00,106.00,1050
2024-01-09,SPY,107.50,108.50,107.00,108.00,1060
2024-01-10,SPY,109.50,110.50,109.00,110.00,1070
2024-01-11,SPY,108.50,109.50,108.00,109.00,1080
2024-01-12,SPY,106.50,107.50,106.00,107.00,1090
2024-01-15,SPY,104.50,105.50,104.00,105.00,1100
2024-01-16,SPY,102.50,103.50,102.00,103.00,1110
2024-01-17,SPY,100.50,101.50,100.00,101.00,1120
2024-01-18,SPY,99.50,100.50,99.00,100.00,1130
2024-01-19,SPY,98.50,99.50,98.00,99.00,1140
